VarName,TimeString,VarValue,Validity,Time_ms
color change longest,10/02/2021 23:58,11.4,1,42397781256
color change longest,10/02/2021 23:59,11.4,1,42397781256
color change longest,13/02/2021 23:59,61.4,1,42397781256
color change longest,15/02/2021 23:59,81.4,1,42397781256
color change longest,23/02/2021 23:59,7.4,1,42397781256
color change longest,03/03/2021 23:59,71.4,1,42397781256
color change longest,04/03/2021 23:59,70.4,1,42397785447
color change longest,05/03/2021 23:59,10.4,1,42397785447
color change longest,06/03/2021 23:59,80.4,1,42397785447
color change longest,07/03/2021 23:59,17.4,1,42397785447
color change longest,08/03/2021 23:59,10.4,1,42397785447
color change longest,09/03/2021 12:59,90,1,42397785447
color change longest,09/03/2021 13:59,31.4,1,42397781256
color change longest,09/03/2021 23:59,81.4,1,42397781256
color change longest,10/03/2021 23:59,90.4,1,42397785447
color change longest,11/03/2021 23:59,59,1,42397785447
color change longest,12/03/2021 23:59,10.4,1,42397785447
color change longest,13/03/2021 23:59,10.4,1,42397785447
color change longest,14/03/2021 23:59,10.4,1,42397785447
color change longest,15/03/2021 23:59,10.4,1,42397785447
color change longest,16/03/2021 23:59,10.4,1,42397785447
color change longest,17/03/2021 23:59,10.4,1,42397785447
color change longest,18/03/2021 23:59,10.4,1,42397785447
color change longest,19/03/2021 23:59,10.4,1,42397785447
color change longest,20/03/2021 23:59,10.4,1,42397785447
color change longest,21/03/2021 23:59,10.4,1,42397785447
color change longest,22/03/2021 23:59,10.4,1,42397785447
color change longest,23/03/2021 23:59,10.4,1,42397785447
color change longest,24/03/2021 23:59,70.4,1,42397785447
color change longest,25/03/2021 23:59,10.4,1,42397785447
color change longest,26/03/2021 23:59,10.4,1,42397785447
color change longest,27/03/2021 23:59,10.4,1,42397785447
color change longest,28/03/2021 23:59,10.4,1,42397785447
color change longest,29/03/2021 23:59,10.4,1,42397785447
color change longest,30/03/2021 23:59,10.4,1,42397785447
color change longest,31/03/2021 23:59,10.4,1,42397785447
color change longest,24/07/2020 23:59,10.4,1,42397785447
color change longest,25/07/2020 23:59,10.4,1,42397785447
