VarName,TimeString,VarValue,Validity,Time_ms
color change quickest,10/02/2021 23:58,11.4,1,42397781256
color change quickest,10/02/2021 23:59,11.4,1,42397781256
color change quickest,13/02/2021 23:59,61.4,1,42397781256
color change quickest,15/02/2021 23:59,81.4,1,42397781256
color change quickest,23/02/2021 23:59,7.4,1,42397781256
color change quickest,03/03/2021 23:59,71.4,1,42397781256
color change quickest,04/03/2021 23:59,70.4,1,42397785447
color change quickest,05/03/2021 23:59,10.4,1,42397785447
color change quickest,06/03/2021 23:59,80.4,1,42397785447
color change quickest,07/03/2021 23:59,17.4,1,42397785447
color change quickest,08/03/2021 23:59,10.4,1,42397785447
color change quickest,09/03/2021 12:59,90,1,42397785447
color change quickest,09/03/2021 13:59,31.4,1,42397781256
color change quickest,09/03/2021 23:59,81.4,1,42397781256
color change quickest,10/03/2021 23:59,90.4,1,42397785447
color change quickest,11/03/2021 23:59,59,1,42397785447
color change quickest,12/03/2021 23:59,10.4,1,42397785447
color change quickest,13/03/2021 23:59,10.4,1,42397785447
color change quickest,14/03/2021 23:59,10.4,1,42397785447
color change quickest,15/03/2021 23:59,10.4,1,42397785447
color change quickest,16/03/2021 23:59,10.4,1,42397785447
color change quickest,17/03/2021 23:59,10.4,1,42397785447
color change quickest,18/03/2021 23:59,10.4,1,42397785447
color change quickest,19/03/2021 23:59,10.4,1,42397785447
color change quickest,20/03/2021 23:59,10.4,1,42397785447
color change quickest,21/03/2021 23:59,10.4,1,42397785447
color change quickest,22/03/2021 23:59,10.4,1,42397785447
color change quickest,23/03/2021 23:59,10.4,1,42397785447
color change quickest,24/03/2021 23:59,70.4,1,42397785447
color change quickest,25/03/2021 23:59,10.4,1,42397785447
color change quickest,26/03/2021 23:59,10.4,1,42397785447
color change quickest,27/03/2021 23:59,10.4,1,42397785447
color change quickest,28/03/2021 23:59,10.4,1,42397785447
color change quickest,29/03/2021 23:59,10.4,1,42397785447
color change quickest,30/03/2021 23:59,10.4,1,42397785447
color change quickest,31/03/2021 23:59,10.4,1,42397785447
color change quickest,24/07/2020 23:59,10.4,1,42397785447
color change quickest,25/07/2020 23:59,10.4,1,42397785447
color change quickest,26/07/2020 23:59,10.4,1,42397785447
color change quickest,27/07/2020 23:59,10.4,1,42397785447
color change quickest,28/07/2020 23:59,10.4,1,42397785447
color change quickest,29/07/2020 23:59,10.4,1,42397785447
color change quickest,30/07/2020 23:59,10.4,1,42397785447
color change quickest,31/07/2020 23:59,10.4,1,42397785447
color change quickest,01/08/2020 23:59,10.4,1,42397785447
color change quickest,02/08/2020 23:59,10.4,1,42397785447
color change quickest,03/08/2020 23:59,10.4,1,42397785447
color change quickest,04/08/2020 23:59,10.4,1,42397785447
color change quickest,05/08/2020 23:59,10.4,1,42397785447
color change quickest,06/08/2020 23:59,10.4,1,42397785447
color change quickest,07/08/2020 23:59,10.4,1,42397785447
color change quickest,08/08/2020 23:59,10.4,1,42397785447
color change quickest,09/08/2020 23:59,10.4,1,42397785447
color change quickest,10/08/2020 23:59,10.4,1,42397785447
color change quickest,11/08/2020 23:59,10.4,1,42397785447
color change quickest,12/08/2020 23:59,10.4,1,42397785447
color change quickest,13/08/2020 23:59,10.4,1,42397785447
color change quickest,14/08/2020 23:59,10.4,1,42397785447
color change quickest,15/08/2020 23:59,10.4,1,42397785447
color change quickest,16/08/2020 23:59,10.4,1,42397785447
color change quickest,17/08/2020 23:59,10.4,1,42397785447
color change quickest,18/08/2020 23:59,10.4,1,42397785447
color change quickest,19/08/2020 23:59,10.4,1,42397785447
color change quickest,20/08/2020 23:59,10.4,1,42397785447
color change quickest,21/08/2020 23:59,10.4,1,42397785447
color change quickest,22/08/2020 23:59,10.4,1,42397785447
color change quickest,23/08/2020 23:59,10.4,1,42397785447
color change quickest,24/08/2020 23:59,10.4,1,42397785447
color change quickest,25/08/2020 23:59,10.4,1,42397785447
color change quickest,26/08/2020 23:59,10.4,1,42397785447
color change quickest,27/08/2020 23:59,10.4,1,42397785447
color change quickest,28/08/2020 23:59,10.4,1,42397785447
color change quickest,29/08/2020 23:59,10.4,1,42397785447
color change quickest,30/08/2020 23:59,10.4,1,42397785447
color change quickest,31/08/2020 23:59,10.4,1,42397785447
color change quickest,01/09/2020 23:59,10.4,1,42397785447
color change quickest,02/09/2020 23:59,10.4,1,42397785447
color change quickest,03/09/2020 23:59,10.4,1,42397785447
color change quickest,04/09/2020 23:59,10.4,1,42397785447
color change quickest,05/09/2020 23:59,10.4,1,42397785447
color change quickest,06/09/2020 23:59,10.4,1,42397785447
color change quickest,07/09/2020 23:59,10.4,1,42397785447
color change quickest,08/09/2020 23:59,10.4,1,42397785447
color change quickest,09/09/2020 23:59,10.4,1,42397785447
color change quickest,10/09/2020 23:59,10.4,1,42397785447
color change quickest,11/09/2020 23:59,10.4,1,42397785447
color change quickest,12/09/2020 23:59,10.4,1,42397785447
color change quickest,13/09/2020 23:59,10.4,1,42397785447
color change quickest,14/09/2020 23:59,10.4,1,42397785447
color change quickest,15/09/2020 23:59,10.4,1,42397785447
