VarName,TimeString,VarValue,Validity,Time_ms
consumption per powder types,01/01/2021 23:58,11.4,1,42397781256
consumption per powder types,02/01/2021 23:58,11.4,1,42397781256
consumption per powder types,03/01/2021 23:58,11.4,1,42397781256
consumption per powder types,04/01/2021 23:58,11.4,1,42397781256
consumption per powder types,05/01/2021 23:58,11.4,1,42397781256
consumption per powder types,06/01/2021 23:58,11.4,1,42397781256
consumption per powder types,07/01/2021 23:58,11.4,1,42397781256
consumption per powder types,08/01/2021 23:58,11.4,1,42397781256
consumption per powder types,09/01/2021 23:58,11.4,1,42397781256
consumption per powder types,10/01/2021 23:58,11.4,1,42397781256
consumption per powder types,11/01/2021 23:58,11.4,1,42397781256
consumption per powder types,12/01/2021 23:58,11.4,1,42397781256
consumption per powder types,13/01/2021 23:58,11.4,1,42397781256
consumption per powder types,14/01/2021 23:58,11.4,1,42397781256
consumption per powder types,15/01/2021 23:58,11.4,1,42397781256
consumption per powder types,16/01/2021 23:58,11.4,1,42397781256
consumption per powder types,17/01/2021 23:58,11.4,1,42397781256
consumption per powder types,18/01/2021 23:58,11.4,1,42397781256
consumption per powder types,19/01/2021 23:58,11.4,1,42397781256
consumption per powder types,20/01/2021 23:58,11.4,1,42397781256
consumption per powder types,21/01/2021 23:58,11.4,1,42397781256
consumption per powder types,22/01/2021 23:58,11.4,1,42397781256
consumption per powder types,23/01/2021 23:58,11.4,1,42397781256
consumption per powder types,24/01/2021 23:58,11.4,1,42397781256
consumption per powder types,25/01/2021 23:58,11.4,1,42397781256
consumption per powder types,26/01/2021 23:58,11.4,1,42397781256
consumption per powder types,27/01/2021 23:58,11.4,1,42397781256
consumption per powder types,28/01/2021 23:58,11.4,1,42397781256
consumption per powder types,29/01/2021 23:58,11.4,1,42397781256
consumption per powder types,30/01/2021 23:58,11.4,1,42397781256
consumption per powder types,01/02/2021 23:58,11.4,1,42397781256
consumption per powder types,02/02/2021 23:58,11.4,1,42397781256
