VarName,TimeString,VarValue,Validity,Time_ms
Total hours / Spray time / Start-stop,01/01/2021 23:58,0.7,1,1
Total hours / Spray time / Start-stop,02/01/2021 23:58,1.8,1,1
Total hours / Spray time / Start-stop,03/01/2021 23:58,1.8,1,1
Total hours / Spray time / Start-stop,04/01/2021 23:58,1.8,1,1
Total hours / Spray time / Start-stop,05/01/2021 23:58,1.8,1,1
Total hours / Spray time / Start-stop,06/01/2021 23:58,1.8,1,1
Total hours / Spray time / Start-stop,07/01/2021 23:58,1.8,1,1
Total hours / Spray time / Start-stop,08/01/2021 23:58,1.8,1,1
Total hours / Spray time / Start-stop,09/01/2021 23:58,1.8,1,1
Total hours / Spray time / Start-stop,10/01/2021 23:58,1.8,1,1
Total hours / Spray time / Start-stop,11/01/2021 23:58,1.8,1,1
Total hours / Spray time / Start-stop,12/01/2021 23:58,1.8,1,1
Total hours / Spray time / Start-stop,13/01/2021 23:58,1.8,1,1
Total hours / Spray time / Start-stop,14/01/2021 23:58,1.8,1,1
Total hours / Spray time / Start-stop,15/01/2021 23:58,1.8,1,1
Total hours / Spray time / Start-stop,16/01/2021 23:58,1.8,1,1
Total hours / Spray time / Start-stop,17/01/2021 23:58,1.8,1,1
Total hours / Spray time / Start-stop,18/01/2021 23:58,1.8,1,1
Total hours / Spray time / Start-stop,19/01/2021 23:58,1.8,1,1
Total hours / Spray time / Start-stop,20/01/2021 23:58,1.8,1,1
Total hours / Spray time / Start-stop,21/01/2021 23:58,1.8,1,1
Total hours / Spray time / Start-stop,22/01/2021 23:58,1.8,1,1
Total hours / Spray time / Start-stop,23/01/2021 23:58,1.8,1,1
Total hours / Spray time / Start-stop,24/01/2021 23:58,1.8,1,1
Total hours / Spray time / Start-stop,25/01/2021 23:58,1.8,1,1
Total hours / Spray time / Start-stop,26/01/2021 23:58,1.8,1,1
Total hours / Spray time / Start-stop,27/01/2021 23:58,1.8,1,1
Total hours / Spray time / Start-stop,28/01/2021 23:58,1.8,1,1
Total hours / Spray time / Start-stop,29/01/2021 23:58,1.8,1,1
Total hours / Spray time / Start-stop,30/01/2021 23:58,1.8,1,1
Total hours / Spray time / Start-stop,01/02/2021 23:58,1.8,1,1
Total hours / Spray time / Start-stop,02/02/2021 23:58,1.8,1,1
Total hours / Spray time / Start-stop,03/02/2021 23:58,1.8,1,1
Total hours / Spray time / Start-stop,04/02/2021 23:58,1.8,1,1
Total hours / Spray time / Start-stop,05/02/2021 23:58,1.8,1,1
Total hours / Spray time / Start-stop,06/02/2021 23:58,1.8,1,1
Total hours / Spray time / Start-stop,07/02/2021 23:58,1.8,1,1
Total hours / Spray time / Start-stop,08/02/2021 23:58,1.8,1,1
Total hours / Spray time / Start-stop,09/02/2021 23:58,1.8,1,1
Total hours / Spray time / Start-stop,10/02/2021 23:58,1.8,1,1
Total hours / Spray time / Start-stop,11/02/2021 23:58,1.8,1,1
Total hours / Spray time / Start-stop,12/02/2021 23:58,1.8,1,1
Total hours / Spray time / Start-stop,13/02/2021 23:58,1.8,1,1
Total hours / Spray time / Start-stop,14/02/2021 23:58,1.8,1,1
Total hours / Spray time / Start-stop,15/02/2021 23:58,1.8,1,1
Total hours / Spray time / Start-stop,16/02/2021 23:58,1.8,1,1
Total hours / Spray time / Start-stop,17/02/2021 23:58,1.8,1,1
Total hours / Spray time / Start-stop,18/02/2021 23:58,1.8,1,1
Total hours / Spray time / Start-stop,19/02/2021 23:58,1.8,1,1
Total hours / Spray time / Start-stop,20/02/2021 23:58,1.8,1,1
Total hours / Spray time / Start-stop,21/02/2021 23:58,1.8,1,1
Total hours / Spray time / Start-stop,22/02/2021 23:58,1.8,1,1
Total hours / Spray time / Start-stop,23/02/2021 23:58,1.8,1,1
Total hours / Spray time / Start-stop,24/02/2021 23:58,1.8,1,1
Total hours / Spray time / Start-stop,25/02/2021 23:58,1.8,1,1
Total hours / Spray time / Start-stop,26/02/2021 23:58,1.8,1,1
Total hours / Spray time / Start-stop,27/02/2021 23:58,1.8,1,1
Total hours / Spray time / Start-stop,28/02/2021 23:58,1.8,1,1
Total hours / Spray time / Start-stop,01/03/2021 23:58,1.8,1,1
Total hours / Spray time / Start-stop,02/03/2021 23:58,1.8,1,1
Total hours / Spray time / Start-stop,03/03/2021 23:58,1.8,1,1
Total hours / Spray time / Start-stop,04/03/2021 23:58,1.8,1,1
Total hours / Spray time / Start-stop,05/03/2021 23:58,1.8,1,1
Total hours / Spray time / Start-stop,06/03/2021 23:58,1.8,1,1
Total hours / Spray time / Start-stop,07/03/2021 23:58,1.8,1,1
Total hours / Spray time / Start-stop,08/03/2021 23:58,1.8,1,1
Total hours / Spray time / Start-stop,09/03/2021 23:58,1.8,1,1
Total hours / Spray time / Start-stop,10/03/2021 23:58,1.8,1,1
Total hours / Spray time / Start-stop,11/03/2021 23:58,1.8,1,1
Total hours / Spray time / Start-stop,12/03/2021 23:58,1.8,1,1
Total hours / Spray time / Start-stop,13/03/2021 23:58,1.8,1,1
Total hours / Spray time / Start-stop,14/03/2021 23:58,1.8,1,1
Total hours / Spray time / Start-stop,15/03/2021 23:58,1.8,1,1
Total hours / Spray time / Start-stop,16/03/2021 23:58,1.8,1,1
Total hours / Spray time / Start-stop,17/03/2021 23:58,1.8,1,1
Total hours / Spray time / Start-stop,18/03/2021 23:58,1.8,1,1
Total hours / Spray time / Start-stop,19/03/2021 23:58,1.8,1,1
Total hours / Spray time / Start-stop,20/03/2021 23:58,1.8,1,1
Total hours / Spray time / Start-stop,21/03/2021 23:58,1.8,1,1
Total hours / Spray time / Start-stop,22/03/2021 23:58,1.8,1,1
Total hours / Spray time / Start-stop,23/03/2021 23:58,1.8,1,1
Total hours / Spray time / Start-stop,24/03/2021 23:58,1.8,1,1
Total hours / Spray time / Start-stop,25/03/2021 23:58,1.8,1,1
Total hours / Spray time / Start-stop,26/03/2021 23:58,1.8,1,1
Total hours / Spray time / Start-stop,27/03/2021 23:58,1.8,1,1
Total hours / Spray time / Start-stop,28/03/2021 23:58,1.8,1,1
Total hours / Spray time / Start-stop,29/03/2021 23:58,1.8,1,1
