VarName,TimeString,VarValue,Validity,Time_ms
sprayed powder calculated total,10/02/2021 23:58,11.4,1,42397781256
sprayed powder calculated total,10/02/2021 23:59,11.4,1,42397781256
sprayed powder calculated total,13/02/2021 23:59,61.4,1,42397781256
sprayed powder calculated total,15/02/2021 23:59,81.4,1,42397781256
sprayed powder calculated total,23/02/2021 23:59,7.4,1,42397781256
sprayed powder calculated total,03/03/2021 23:59,71.4,1,42397781256
sprayed powder calculated total,04/03/2021 23:59,70.4,1,42397785447
sprayed powder calculated total,05/03/2021 23:59,10.4,1,42397785447
sprayed powder calculated total,06/03/2021 23:59,80.4,1,42397785447
sprayed powder calculated total,07/03/2021 23:59,17.4,1,42397785447
sprayed powder calculated total,08/03/2021 23:59,10.4,1,42397785447
sprayed powder calculated total,09/03/2021 12:59,90,1,42397785447
sprayed powder calculated total,09/03/2021 13:59,31.4,1,42397781256
sprayed powder calculated total,09/03/2021 23:59,81.4,1,42397781256
sprayed powder calculated total,10/03/2021 23:59,90.4,1,42397785447
sprayed powder calculated total,11/03/2021 23:59,59,1,42397785447
sprayed powder calculated total,12/03/2021 23:59,10.4,1,42397785447
sprayed powder calculated total,13/03/2021 23:59,10.4,1,42397785447
sprayed powder calculated total,14/03/2021 23:59,10.4,1,42397785447
sprayed powder calculated total,15/03/2021 23:59,10.4,1,42397785447
sprayed powder calculated total,16/03/2021 23:59,10.4,1,42397785447
sprayed powder calculated total,17/03/2021 23:59,10.4,1,42397785447
sprayed powder calculated total,18/03/2021 23:59,10.4,1,42397785447
sprayed powder calculated total,19/03/2021 23:59,10.4,1,42397785447
sprayed powder calculated total,20/03/2021 23:59,10.4,1,42397785447
sprayed powder calculated total,21/03/2021 23:59,10.4,1,42397785447
sprayed powder calculated total,22/03/2021 23:59,10.4,1,42397785447
sprayed powder calculated total,23/03/2021 23:59,10.4,1,42397785447
sprayed powder calculated total,24/03/2021 23:59,70.4,1,42397785447
sprayed powder calculated total,25/03/2021 23:59,10.4,1,42397785447
sprayed powder calculated total,26/03/2021 23:59,10.4,1,42397785447
sprayed powder calculated total,27/03/2021 23:59,10.4,1,42397785447
sprayed powder calculated total,28/03/2021 23:59,10.4,1,42397785447
sprayed powder calculated total,29/03/2021 23:59,10.4,1,42397785447
sprayed powder calculated total,30/03/2021 23:59,10.4,1,42397785447
sprayed powder calculated total,31/03/2021 23:59,10.4,1,42397785447
sprayed powder calculated total,24/07/2021 23:59,10.4,1,42397785447
sprayed powder calculated total,25/07/2021 23:59,10.4,1,42397785447
sprayed powder calculated total,26/07/2021 23:59,10.4,1,42397785447
sprayed powder calculated total,27/07/2021 23:59,10.4,1,42397785447
sprayed powder calculated total,28/07/2021 23:59,10.4,1,42397785447
sprayed powder calculated total,29/07/2021 23:59,10.4,1,42397785447
sprayed powder calculated total,30/07/2021 23:59,10.4,1,42397785447
sprayed powder calculated total,31/07/2021 23:59,10.4,1,42397785447
sprayed powder calculated total,01/08/2021 23:59,10.4,1,42397785447
sprayed powder calculated total,02/08/2021 23:59,10.4,1,42397785447
sprayed powder calculated total,03/08/2021 23:59,10.4,1,42397785447
sprayed powder calculated total,04/08/2021 23:59,10.4,1,42397785447
sprayed powder calculated total,05/08/2021 23:59,10.4,1,42397785447
sprayed powder calculated total,06/08/2021 23:59,10.4,1,42397785447
