VarName,TimeString,VarValue,Validity,Time_ms
Production - System fault - color change - standby,01/01/2021 23:58,0.7,1,1,2.3
Production - System fault - color change - standby,02/01/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,03/01/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,04/01/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,05/01/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,06/01/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,07/01/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,08/01/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,09/01/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,10/01/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,11/01/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,12/01/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,13/01/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,14/01/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,15/01/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,16/01/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,17/01/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,18/01/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,19/01/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,20/01/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,21/01/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,22/01/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,23/01/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,24/01/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,25/01/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,26/01/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,27/01/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,28/01/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,29/01/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,30/01/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,01/02/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,02/02/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,03/02/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,04/02/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,05/02/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,06/02/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,07/02/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,08/02/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,09/02/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,10/02/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,11/02/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,12/02/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,13/02/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,14/02/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,15/02/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,16/02/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,17/02/2021 23:58,1.8,1,1,2.4
Production - System fault - color change - standby,18/02/2021 23:58,1.8,1,1,2.4
